target,softmax prob,average overlap,overlap variance
0,[0.9972 0.0028],0.000242276,0.000439774
0,[0.9859 0.0141],0.000125295,0.000133779
0,[0.628 0.372],0.413222231,0.20591855
0,[0.9964 0.0036],0.000285014,0.000601698
0,[0.8693 0.1307],0.06027262,0.062064257
0,[0.7685 0.2315],0.315368229,0.217620395
0,[0.9754 0.0246],0.000202504,0.000167849
0,[0.8737 0.1263],0.021951628,0.014953842
0,[0.9928 0.0072],0.018451134,0.035165285
0,[0.9987 0.0013],1.55E-06,9.68E-07
0,[0.9429 0.0571],0.001647342,0.002913329
0,[0.986 0.014],0.000175304,0.000195382
0,[0.9537 0.0463],0.001238708,0.001930846
0,[0.987 0.013],0.002571354,0.002592173
0,[0.9885 0.0115],9.78E-06,1.07E-05
0,[0.9946 0.0054],0.00021258,0.000557637
0,[0.9075 0.0925],0.023484377,0.016486274
0,[0.9878 0.0122],0.000991894,0.000848064
0,[0.9716 0.0284],0.000931531,0.001172709
0,[0.991 0.009],0.000270384,0.000748779
0,[0.9707 0.0293],0.005284589,0.011730551
0,[0.8485 0.1515],0.007969077,0.010455505
0,[0.7136 0.2864],0.345774223,0.182896515
0,[0.9727 0.0273],1.47E-05,7.13E-06
0,[0.9911 0.0089],9.81E-05,0.000211345
0,[0.8998 0.1002],0.037340619,0.037122792
0,[0.0193 0.9807],0.019980008,0.024124473
0,[0.9898 0.0102],4.49E-05,7.26E-05
0,[0.9946 0.0054],3.60E-05,5.88E-05
0,[0.997 0.003],6.91E-06,1.11E-05
0,[0.8172 0.1828],0.080423926,0.03618021
0,[0.4558 0.5442],0.463106518,0.282923903
0,[0.9839 0.0161],0.000213628,0.000245897
0,[0.8549 0.1451],0.046192429,0.063646766
0,[0.9917 0.0083],1.89E-05,1.82E-05
0,[0.9755 0.0245],0.000553345,0.000947073
0,[0.9984 0.0016],0.001069817,0.002787967
0,[0.6951 0.3049],0.449819257,0.207218748
0,[0.9978 0.0022],1.36E-05,3.08E-05
0,[0.9984 0.0016],9.92E-05,0.00013322
0,[0.992 0.008],1.52E-05,1.83E-05
0,[0.9988 0.0012],0.000965112,0.001780837
0,[0.9957 0.0043],7.02E-05,0.000136778
0,[0.9662 0.0338],0.001405051,0.002155468
0,[0.9798 0.0202],0.00074296,0.001401108
0,[0.9488 0.0512],0.010823853,0.009320367
0,[0.6184 0.3816],0.240826952,0.247344063
0,[0.9982 0.0018],1.65E-06,7.59E-07
0,[0.9662 0.0338],0.001252239,0.001140921
1,[0.0094 0.9906],2.44E-05,2.85E-05
1,[0.1092 0.8908],0.046322049,0.103155883
1,[0.048 0.952],0.002242414,0.003062166
1,[0.0031 0.9969],0.00210102,0.003207128
1,[0.0224 0.9776],0.000659171,0.001105536
1,[0.0028 0.9972],0.00010242,0.000189577
1,[0.0054 0.9946],8.42E-05,0.000185879
1,[0.072 0.928],0.01764606,0.025909512
1,[0.0457 0.9543],0.000257978,0.000270454
1,[0.052 0.948],0.089209402,0.176134095
1,[0.1085 0.8915],0.034081892,0.03526833
1,[0.6821 0.3179],0.521778782,0.255938204
1,[0.0179 0.9821],0.046903812,0.082567807
1,[0.0871 0.9129],0.03020824,0.043033082
1,[0.0306 0.9694],0.001986523,0.0024441
1,[0.028 0.972],0.000262589,0.000378882
1,[0.011 0.989],0.005798116,0.006948627
1,[0.0601 0.9399],0.002477779,0.001865042
1,[0.0315 0.9685],0.000118839,0.000181236
1,[0.0031 0.9969],0.000476904,0.001039301
1,[0.0538 0.9462],0.002818167,0.002317528
1,[0.4923 0.5077],0.293447382,0.343817562
1,[0.1017 0.8983],0.007575988,0.005864711
1,[0.058 0.942],0.008209452,0.011428704
1,[0.0061 0.9939],8.89E-05,6.10E-05
1,[0.7367 0.2633],0.565381863,0.259055466
1,[0.0191 0.9809],0.000182494,0.000156366
1,[0.0404 0.9596],0.007123227,0.005288372
1,[0.0137 0.9863],0.000163331,0.000290519
1,[0.8154 0.1846],0.315288037,0.200376468
1,[0.1118 0.8882],0.345291532,0.282340876
1,[0.0227 0.9773],0.00179592,0.003343977
1,[0.0322 0.9678],0.001372367,0.001568808
1,[0.0729 0.9271],0.003985549,0.003565976
1,[0.0114 0.9886],0.001533695,0.004040579
1,[1.0221e-04 9.9990e-01],2.65E-06,3.72E-06
1,[0.0164 0.9836],0.000334236,0.000577074
1,[0.0406 0.9594],0.001085625,0.001766841
1,[0.0719 0.9281],0.015059685,0.01278748
1,[0.1438 0.8562],0.008622304,0.0129386
1,[0.0808 0.9192],0.002091421,0.001722031
1,[0.0035 0.9965],9.27E-06,8.56E-06
1,[0.0207 0.9793],0.002999924,0.004308057
1,[0.0362 0.9638],0.000312541,0.000271299
1,[0.0201 0.9799],0.002188863,0.00528368
1,[0.0137 0.9863],5.59E-05,0.000117601
1,[0.0361 0.9639],0.00205168,0.004148069
1,[0.372 0.628],0.540439734,0.248394322
1,[0.0132 0.9868],8.02E-05,5.91E-05
1,[0.0052 0.9948],0.000489492,0.000727971
1,[0.0763 0.9237],0.01044274,0.019726687
1,[0.0214 0.9786],0.000606111,0.001227079
1,[3.4898e-04 9.9965e-01],0.000177632,0.00036768
1,[0.0258 0.9742],0.000374315,0.000576221
1,[0.6687 0.3313],0.500598289,0.298038582
