target,softmax prob,classification error %,predictive entropy
0,[0.99 0.01],0,0.029535505
0,[0.9794 0.0206],0.004444444,0.068439942
0,[0.2404 0.7596],0.748888889,0.530724745
0,[0.9974 0.0026],0,0.016776624
0,[0.9041 0.0959],0.01,0.156891173
0,[0.8834 0.1166],0.163333333,0.359353686
0,[0.9918 0.0082],0,0.039574063
0,[0.8566 0.1434],0.001111111,0.167609197
0,[0.6687 0.3313],0.078888889,0.273706971
0,[0.9986 0.0014],0,0.010574856
0,[0.9696 0.0304],0,0.081536023
0,[0.9782 0.0218],0,0.067566394
0,[0.9868 0.0132],0,0.049681483
0,[0.924 0.076],0.003333333,0.140250358
0,[0.9896 0.0104],0,0.038718583
0,[9.9949e-01 5.0869e-04],0,0.010692301
0,[0.8827 0.1173],0,0.149816817
0,[0.9857 0.0143],0,0.039142628
0,[0.9803 0.0197],0,0.053029867
0,[0.9936 0.0064],0,0.020457984
0,[0.9962 0.0038],0,0.019198469
0,[0.9685 0.0315],0,0.110979383
0,[0.8323 0.1677],0.231111111,0.416979375
0,[0.9908 0.0092],0,0.03331875
0,[0.985 0.015],0,0.0415887
0,[0.8573 0.1427],0.004444444,0.217386608
0,[0.0073 0.9927],0.997777778,0.143893251
0,[0.9808 0.0192],0,0.049570199
0,[0.9977 0.0023],0,0.015414587
0,[0.9961 0.0039],0,0.018535691
0,[0.7162 0.2838],0.057777778,0.334350139
0,[0.7485 0.2515],0.135555556,0.373040345
0,[0.9882 0.0118],0,0.036936303
0,[0.8825 0.1175],0,0.173650969
0,[0.9853 0.0147],0,0.038187493
0,[0.9695 0.0305],0,0.067752141
0,[0.9986 0.0014],0,0.019069264
0,[0.884 0.116],0.018888889,0.296761933
0,[0.9981 0.0019],0,0.027238862
0,[0.9945 0.0055],0,0.033602164
0,[0.9908 0.0092],0,0.032840523
0,[0.9879 0.0121],0,0.03782071
0,[0.9939 0.0061],0,0.018128842
0,[0.9459 0.0541],0,0.069558206
0,[0.9907 0.0093],0,0.035172094
0,[0.9293 0.0707],0.041111111,0.277617985
0,[0.8611 0.1389],0.06,0.319049595
0,[0.9966 0.0034],0,0.014587449
0,[0.9402 0.0598],0,0.10970525
1,[0.0058 0.9942],0,0.01502852
1,[0.0157 0.9843],0.02,0.074067156
1,[0.0558 0.9442],0.001111111,0.06696539
1,[0.0035 0.9965],0,0.021898223
1,[0.0021 0.9979],0,0.013531055
1,[5.1116e-04 9.9949e-01],0,0.016302441
1,[0.0011 0.9989],0,0.008836187
1,[0.0558 0.9442],0.001111111,0.083729694
1,[0.0056 0.9944],0,0.021382342
1,[0.0951 0.9049],0.001111111,0.09189319
1,[0.0586 0.9414],0.007777778,0.104152887
1,[0.7204 0.2796],0.824444444,0.528227686
1,[0.0693 0.9307],0.008888889,0.069140438
1,[0.0273 0.9727],0.01,0.112578639
1,[0.0021 0.9979],0,0.026867565
1,[0.0029 0.9971],0,0.019759515
1,[0.0065 0.9935],0.001111111,0.040575794
1,[0.0335 0.9665],0,0.076025904
1,[0.0081 0.9919],0,0.035182993
1,[6.1236e-04 9.9939e-01],0,0.012473864
1,[0.0345 0.9655],0,0.079905768
1,[0.2489 0.7511],0.027777778,0.286327316
1,[0.0594 0.9406],0.001111111,0.07831869
1,[0.0151 0.9849],0,0.056015013
1,[0.0014 0.9986],0,0.010712784
1,[0.4809 0.5191],0.297777778,0.437028769
1,[0.0053 0.9947],0,0.016443464
1,[0.0246 0.9754],0,0.068750629
1,[0.0035 0.9965],0,0.01871281
1,[0.9465 0.0535],0.99,0.426649788
1,[0.7006 0.2994],0.142222222,0.275754209
1,[0.0036 0.9964],0,0.025913886
1,[0.0346 0.9654],0,0.050255599
1,[0.0415 0.9585],0,0.062071495
1,[0.0112 0.9888],0.001111111,0.043822018
1,[3.2537e-05 9.9997e-01],0,0.001830881
1,[0.0136 0.9864],0,0.021513788
1,[0.0167 0.9833],0,0.028365295
1,[0.025 0.975],0,0.061724563
1,[0.0277 0.9723],0,0.071531411
1,[0.0562 0.9438],0,0.087744156
1,[8.8501e-04 9.9911e-01],0,0.005279105
1,[0.008 0.992],0,0.033540798
1,[0.0269 0.9731],0.004444444,0.063388194
1,[0.0042 0.9958],0,0.016583197
1,[0.003 0.997],0,0.018607322
1,[0.0107 0.9893],0,0.019190496
1,[0.1171 0.8829],0.061111111,0.273439667
1,[0.007 0.993],0,0.028095785
1,[0.0024 0.9976],0,0.018029338
1,[0.0129 0.9871],0,0.060151351
1,[0.007 0.993],0,0.018808614
1,[5.8028e-05 9.9994e-01],0,0.00499609
1,[0.0058 0.9942],0,0.023181832
1,[0.8221 0.1779],0.863333333,0.525795765
