target,softmax prob,classification error %,average overlap,predictive entropy,average entropy,mutual information
0,[0.99 0.01],0,2.59E-05,0.119935821,0.102551094,0.017384727
0,[0.9794 0.0206],0.001111111,0.003962669,0.205345544,0.168134335,0.037211209
0,[0.2404 0.7596],0.762222222,0.408465119,0.416251502,0.358966918,0.057284583
0,[0.9974 0.0026],0,6.31E-06,0.078858474,0.064354914,0.01450356
0,[0.9041 0.0959],0.002222222,0.018427868,0.359843342,0.310223617,0.049619725
0,[0.8834 0.1166],0.148888889,0.339302948,0.520813256,0.440219606,0.08059365
0,[0.9918 0.0082],0,2.15E-05,0.139689941,0.122252373,0.017437568
0,[0.8566 0.1434],0.001111111,0.015647553,0.370390479,0.328620236,0.041770243
0,[0.6687 0.3313],0.096666667,0.217658872,0.482526994,0.379531099,0.102995895
0,[0.9986 0.0014],0,1.15E-06,0.048001282,0.03992627,0.008075013
0,[0.9696 0.0304],0,0.000498761,0.235078442,0.212841752,0.02223669
0,[0.9782 0.0218],0,0.000439771,0.201268889,0.178883336,0.022385552
0,[0.9868 0.0132],0.001111111,0.003158219,0.183378673,0.151043172,0.032335501
0,[0.924 0.076],0,0.009346562,0.325829151,0.281894785,0.043934366
0,[0.9896 0.0104],0,3.27E-05,0.141711168,0.124238794,0.017472373
0,[9.9949e-01 5.0869e-04],0,2.07E-06,0.051294653,0.041908421,0.009386233
0,[0.8827 0.1173],0,0.007963123,0.346423536,0.309786545,0.036636991
0,[0.9857 0.0143],0,7.03E-05,0.1436102,0.125886764,0.017723436
0,[0.9803 0.0197],0,8.55E-05,0.18332136,0.160384205,0.022937154
0,[0.9936 0.0064],0,1.60E-05,0.080705267,0.067884455,0.012820812
0,[0.9962 0.0038],0,1.08E-05,0.081778589,0.066814615,0.014963974
0,[0.9685 0.0315],0,0.0045372,0.308992415,0.268065553,0.040926862
0,[0.8323 0.1677],0.213333333,0.414564065,0.53052675,0.469495998,0.061030752
0,[0.9908 0.0092],0,0.000236389,0.133322864,0.113729128,0.019593736
0,[0.985 0.015],0,3.14E-05,0.146906903,0.129126423,0.01778048
0,[0.8573 0.1427],0.005555556,0.024067271,0.420807666,0.386236745,0.034570921
0,[0.0073 0.9927],0.998888889,0.005031946,0.038584034,0.035775672,0.002808361
0,[0.9808 0.0192],0,8.91E-05,0.156019759,0.137725136,0.018294622
0,[0.9977 0.0023],0,2.43E-06,0.061963124,0.052284822,0.009678302
0,[0.9961 0.0039],0,7.10E-06,0.08035906,0.06818573,0.01217333
0,[0.7162 0.2838],0.062222222,0.18095773,0.509738519,0.465009529,0.04472899
0,[0.7485 0.2515],0.137777778,0.316244963,0.524820581,0.473567085,0.051253496
0,[0.9882 0.0118],0,7.81E-05,0.131305959,0.114162578,0.017143381
0,[0.8825 0.1175],0,0.006776782,0.390077892,0.365973234,0.024104658
0,[0.9853 0.0147],0,4.87E-05,0.133610194,0.118076677,0.015533516
0,[0.9695 0.0305],0,0.000141174,0.20825865,0.187363016,0.020895634
0,[0.9986 0.0014],0,0.000275001,0.07976723,0.063281441,0.016485789
0,[0.884 0.116],0.022222222,0.096504142,0.492046191,0.453639928,0.038406263
0,[0.9981 0.0019],0,2.59E-05,0.105301957,0.09046583,0.014836126
0,[0.9945 0.0055],0,0.000150623,0.13291332,0.108474832,0.024438487
0,[0.9908 0.0092],0,1.51E-05,0.112980423,0.098252635,0.014727788
0,[0.9879 0.0121],0,6.84E-05,0.136250396,0.111851131,0.024399265
0,[0.9939 0.0061],0,5.91E-06,0.083502887,0.070482763,0.013020124
0,[0.9459 0.0541],0,0.000788378,0.211907778,0.186178636,0.025729142
0,[0.9907 0.0093],0,0.000620946,0.138793364,0.115508697,0.023284667
0,[0.9293 0.0707],0.044444444,0.125014615,0.478556044,0.419489935,0.059066109
0,[0.8611 0.1389],0.055555556,0.17047102,0.505747017,0.456925141,0.048821876
0,[0.9966 0.0034],0,4.41E-05,0.076447041,0.060625604,0.015821436
0,[0.9402 0.0598],0,0.000662176,0.28237969,0.257560294,0.024819397
1,[0.0058 0.9942],0,7.73E-06,0.060375235,0.051177092,0.009198143
1,[0.0157 0.9843],0.018888889,0.042132331,0.227333117,0.134828615,0.092504502
1,[0.0558 0.9442],0,0.000348751,0.202276019,0.174753302,0.027522717
1,[0.0035 0.9965],0.001111111,0.004301824,0.100345632,0.064697885,0.035647747
1,[0.0021 0.9979],0,4.97E-06,0.065358857,0.053254852,0.012104005
1,[5.1116e-04 9.9949e-01],0,4.70E-05,0.067889592,0.050625248,0.017264344
1,[0.0011 0.9989],0,3.84E-06,0.045313715,0.036734758,0.008578957
1,[0.0558 0.9442],0,0.002041687,0.237531216,0.202687208,0.034844008
1,[0.0056 0.9944],0,0.000417655,0.097038115,0.076647137,0.020390978
1,[0.0951 0.9049],0,0.00198953,0.248359738,0.210016141,0.038343597
1,[0.0586 0.9414],0.004444444,0.013519236,0.269739976,0.215687205,0.054052771
1,[0.7204 0.2796],0.841111111,0.351302861,0.383492547,0.350771816,0.032720731
1,[0.0693 0.9307],0.003333333,0.013509018,0.199090169,0.135663946,0.063426223
1,[0.0273 0.9727],0.01,0.026065745,0.282642824,0.213715832,0.068926992
1,[0.0021 0.9979],0,0.0015879,0.114083617,0.086165979,0.027917637
1,[0.0029 0.9971],0,2.29E-05,0.074385872,0.059917853,0.014468019
