target,softmax prob,classification error %,average overlap,predictive entropy,average entropy,mutual information
0,[0.9976 0.0024],0,0.000377769,0.016462334,0.016024263,0.000438071
0,[0.9793 0.0207],0,0.000973845,0.041910396,0.040287941,0.001622455
0,[0.2505 0.7495],0.688888889,0.576102654,0.52787366,0.45357436,0.0742993
0,[0.9988 0.0012],0,2.76E-05,0.01265192,0.012299682,0.000352238
0,[0.8866 0.1134],0.067777778,0.157242028,0.280754239,0.257537592,0.023216647
0,[0.9105 0.0895],0.003333333,0.017093099,0.153394175,0.14591695,0.007477225
0,[0.9901 0.0099],0,0.000268154,0.039341733,0.038274876,0.001066857
0,[0.9362 0.0638],0.004444444,0.028639207,0.165691278,0.155917235,0.009774043
0,[0.9948 0.0052],0.04,0.086441717,0.138098436,0.114818111,0.023280324
0,[9.9980e-01 1.9623e-04],0,1.66E-06,0.003494226,0.003429415,6.48E-05
0,[0.9797 0.0203],0,0.000324487,0.054427602,0.053045517,0.001382085
0,[0.9822 0.0178],0,0.000204492,0.045221559,0.043875658,0.001345901
0,[0.9915 0.0085],0,0.00028395,0.038544644,0.037347331,0.001197314
0,[0.9852 0.0148],0,0.002503941,0.066870246,0.063941317,0.002928929
0,[0.996 0.004],0,3.00E-05,0.018070006,0.017665089,0.000404917
0,[9.9958e-01 4.1719e-04],0,1.73E-06,0.008119155,0.007976666,0.000142489
0,[0.9463 0.0537],0,0.005309981,0.103085444,0.099067639,0.004017805
0,[0.9986 0.0014],0,8.27E-05,0.017288361,0.016844912,0.000443449
0,[0.9761 0.0239],0,0.000435561,0.053420762,0.051905068,0.001515694
0,[0.9989 0.0011],0,8.98E-06,0.010823221,0.010533921,0.0002893
0,[9.9903e-01 9.6839e-04],0,0.000141911,0.015340664,0.014863156,0.000477508
0,[0.9601 0.0399],0,0.005360838,0.101374636,0.096863843,0.004510793
0,[0.4519 0.5481],0.368888889,0.702815657,0.473809279,0.439410256,0.034399024
0,[0.9963 0.0037],0,7.19E-05,0.022840653,0.022250847,0.000589806
0,[0.9964 0.0036],0,4.66E-05,0.01932393,0.018939976,0.000383954
0,[0.962 0.038],0.001111111,0.007251898,0.124920394,0.119568004,0.00535239
0,[0.0034 0.9966],0.998888889,0.004486397,0.124579793,0.083326019,0.041253774
0,[0.9923 0.0077],0,5.17E-05,0.025794428,0.025204963,0.000589465
0,[0.9985 0.0015],0,1.48E-06,0.007737155,0.007622553,0.000114602
0,[9.9915e-01 8.4758e-04],0,2.31E-06,0.00918568,0.00903027,0.000155411
0,[0.7917 0.2083],0.04,0.109532654,0.277416959,0.261408556,0.016008403
0,[0.8594 0.1406],0.022222222,0.078854287,0.260042347,0.246187726,0.013854621
0,[0.9927 0.0073],0,0.000376312,0.032242902,0.031167989,0.001074913
0,[0.8518 0.1482],0,0.005514034,0.174565433,0.169736321,0.004829112
0,[0.9965 0.0035],0,0.000130849,0.016124849,0.015745417,0.000379431
