target,softmax prob,classification error %,average overlap,predictive entropy,average entropy,mutual information
0,[0.9926 0.0074],0,0.00017505,0.02780953,0.027142366,0.000667164
0,[0.9799 0.0201],0.001111111,0.003817475,0.050039239,0.047502038,0.002537201
0,[0.8588 0.1412],0.263333333,0.448241407,0.382149105,0.312472677,0.069676428
0,[0.9964 0.0036],0,0.000195311,0.031291569,0.030343958,0.000947611
0,[0.9174 0.0826],0.014444444,0.04440482,0.169139272,0.156192612,0.01294666
0,[0.7342 0.2658],0.034444444,0.111453099,0.272247827,0.254863649,0.017384178
0,[0.9748 0.0252],0,0.000333895,0.052921765,0.051308616,0.001613149
0,[0.9394 0.0606],0.006666667,0.017884858,0.156105385,0.148687364,0.00741802
0,[0.9744 0.0256],0.008888889,0.031114084,0.12547047,0.115225216,0.010245254
0,[9.9969e-01 3.0709e-04],0,1.99E-06,0.006447753,0.006327479,0.000120274
0,[0.9715 0.0285],0,0.000462731,0.069520332,0.067612878,0.001907454
0,[0.9914 0.0086],0.001111111,0.001444005,0.056280522,0.054592754,0.001687768
0,[0.9878 0.0122],0,0.000109857,0.034970272,0.033906264,0.001064008
0,[0.99 0.01],0,0.002347523,0.060422407,0.058045483,0.002376924
0,[0.9927 0.0073],0,3.57E-05,0.025758126,0.025229468,0.000528659
0,[9.9996e-01 3.5005e-05],0,6.12E-06,0.005917929,0.005808089,0.00010984
0,[0.9383 0.0617],0.002222222,0.015471726,0.18401445,0.176924013,0.007090436
0,[0.9983 0.0017],0,0.000136828,0.027002109,0.026228472,0.000773637
0,[0.9787 0.0213],0,0.001425347,0.066550261,0.064331239,0.002219022
0,[0.997 0.003],0,9.79E-05,0.020182505,0.019584219,0.000598286
0,[0.9969 0.0031],0,0.00035344,0.024195148,0.023275707,0.000919441
0,[0.9622 0.0378],0,0.002259672,0.099277329,0.09567813,0.003599199
0,[0.6647 0.3353],0.203333333,0.500556153,0.431651903,0.406239016,0.025412887
0,[0.987 0.013],0,2.48E-05,0.027499857,0.026928772,0.000571085
0,[0.9955 0.0045],0,2.41E-05,0.019533682,0.019190852,0.00034283
0,[0.898 0.102],0.002222222,0.018817699,0.191211472,0.183816132,0.00739534
0,[0.0474 0.9526],0.954444444,0.100466175,0.365737789,0.244314899,0.12142289
0,[0.9974 0.0026],0,4.71E-06,0.014242188,0.013989258,0.00025293
0,[9.9909e-01 9.1385e-04],0,5.37E-06,0.008896179,0.008756908,0.000139271
0,[0.9989 0.0011],0,2.94E-05,0.012426894,0.012133474,0.00029342
0,[0.7454 0.2546],0.153333333,0.372972314,0.398089919,0.374442304,0.023647614
0,[0.3772 0.6228],0.311111111,0.471337895,0.442323642,0.394985202,0.04733844
0,[0.9951 0.0049],0,0.000276606,0.035115754,0.033936877,0.001178877
0,[0.8762 0.1238],0.001111111,0.021769589,0.215246327,0.208579183,0.006667144
0,[0.9967 0.0033],0,3.20E-05,0.0205496,0.020155626,0.000393973
0,[0.9863 0.0137],0,0.000133335,0.046225406,0.045331655,0.000893751
0,[9.9931e-01 6.8663e-04],0,0.001289436,0.017350542,0.016483343,0.0008672
0,[0.8358 0.1642],0.012222222,0.07040364,0.273209253,0.261524838,0.011684415
0,[9.9944e-01 5.5884e-04],0,3.92E-05,0.017560764,0.017075967,0.000484798
0,[0.9973 0.0027],0,0.000327217,0.022713227,0.021825501,0.000887726
0,[0.9944 0.0056],0,5.00E-06,0.016749261,0.016494891,0.00025437
0,[0.9966 0.0034],0,0.000125355,0.023960575,0.023248284,0.00071229
0,[0.9976 0.0024],0,1.30E-05,0.016740083,0.016341599,0.000398484
0,[0.9775 0.0225],0,0.002807028,0.086741487,0.083841349,0.002900138
0,[0.9901 0.0099],0,0.001123949,0.059776252,0.057409174,0.002367078
0,[0.9074 0.0926],0.005555556,0.022892976,0.168936688,0.16019912,0.008737568
0,[0.7898 0.2102],0.028888889,0.106533666,0.296305491,0.282655894,0.013649597
0,[9.9930e-01 6.9779e-04],0,2.96E-06,0.009168251,0.008983138,0.000185113
0,[0.9535 0.0465],0,0.001463116,0.111610302,0.108715974,0.002894328
1,[0.0063 0.9937],0,6.46E-06,0.019553613,0.019248536,0.000305077
1,[0.0523 0.9477],0,0.000647145,0.045522819,0.04372814,0.001794679
1,[0.0368 0.9632],0,0.000557471,0.073051496,0.071175912,0.001875584
1,[0.0044 0.9956],0,0.001949077,0.030121952,0.028217924,0.001904028
1,[0.0049 0.9951],0,7.14E-06,0.02052892,0.020176192,0.000352728
1,[0.0023 0.9977],0,0.00011984,0.013395702,0.01292597,0.000469732
1,[0.0025 0.9975],0,4.23E-05,0.016167527,0.01577822,0.000389307
1,[0.0337 0.9663],0,0.00106621,0.086486345,0.083932903,0.002553443
1,[0.0073 0.9927],0,0.000378128,0.02515425,0.024603424,0.000550825
1,[0.0062 0.9938],0.003333333,0.009419883,0.07877223,0.073403114,0.005369116
1,[0.0805 0.9195],0.006666667,0.019254123,0.113634817,0.105643321,0.007991496
1,[0.5052 0.4948],0.555555556,0.812234221,0.50875035,0.45763702,0.05111333
1,[0.0169 0.9831],0,0.003552099,0.059246647,0.056165938,0.003080709
