target,softmax prob,classification error %,average overlap,predictive entropy,average entropy,mutual information
0,[0.9938 0.0062],0,5.07E-05,0.149625325,0.127529715,0.022095611
0,[0.9801 0.0199],0.036666667,0.077478721,0.310985543,0.200055099,0.110930444
0,[0.7624 0.2376],0.254444444,0.518256902,0.530656339,0.452480421,0.078175918
0,[0.9834 0.0166],0,0.000111286,0.148894851,0.126036368,0.022858483
0,[0.8991 0.1009],0.02,0.063713724,0.43083533,0.373401723,0.057433606
0,[0.7913 0.2087],0.061111111,0.157880671,0.494764849,0.440469196,0.054295654
0,[0.9659 0.0341],0,0.001929959,0.300153775,0.267477071,0.032676704
0,[0.9229 0.0771],0,0.005587948,0.371327827,0.338701945,0.032625883
0,[0.9617 0.0383],0.001111111,0.006860268,0.272403923,0.224714402,0.047689521
0,[9.9901e-01 9.9162e-04],0,6.74E-06,0.040579994,0.03194122,0.008638775
0,[0.9542 0.0458],0,0.002114974,0.280238119,0.251451728,0.028786392
0,[0.9688 0.0312],0,0.000258191,0.20612211,0.181797056,0.024325054
0,[0.9747 0.0253],0.001111111,0.006295212,0.266492535,0.224139012,0.042353522
0,[0.9845 0.0155],0,0.001756854,0.228648785,0.195955377,0.032693407
0,[0.9916 0.0084],0,1.06E-05,0.104858628,0.091136251,0.013722377
0,[0.9902 0.0098],0,2.31E-05,0.092071654,0.074355098,0.017716556
0,[0.8969 0.1031],0,0.001740264,0.301798617,0.274472788,0.027325829
0,[0.9901 0.0099],0,1.28E-05,0.120497237,0.104253507,0.016243729
0,[0.9757 0.0243],0,0.001206085,0.231510275,0.201892648,0.029617627
0,[0.984 0.016],0,4.96E-05,0.095326329,0.080022264,0.015304064
0,[0.9862 0.0138],0,0.000656578,0.182663268,0.151622657,0.031040611
0,[0.9253 0.0747],0,0.004755125,0.31742954,0.278039558,0.039389982
0,[0.7794 0.2206],0.05,0.163019026,0.509129485,0.468296934,0.040832551
0,[0.9914 0.0086],0,4.54E-05,0.120251688,0.103250204,0.017001485
0,[0.9914 0.0086],0,2.11E-05,0.130272967,0.113289798,0.016983169
0,[0.7716 0.2284],0.05,0.146724266,0.495196827,0.442065668,0.053131159
0,[0.0666 0.9334],0.998888889,0.010431081,0.105469822,0.100210002,0.005259821
