target,softmax prob,classification error %,average overlap,predictive entropy,average entropy,mutual information
0,[0.995 0.005],0,0.000136254,0.032674382,0.031895263,0.000779119
0,[0.9449 0.0551],0.001111111,0.003656228,0.071460259,0.068448493,0.003011766
0,[0.1764 0.8236],0.715555556,0.344270589,0.53071477,0.423618379,0.107096391
0,[0.9949 0.0051],0,6.32E-06,0.020058733,0.019702142,0.000356591
0,[0.9253 0.0747],0.008888889,0.027319799,0.169796386,0.160899422,0.008896963
0,[0.9073 0.0927],0.014444444,0.045362764,0.208097331,0.196708554,0.011388777
0,[0.9775 0.0225],0,0.000507214,0.073153643,0.07124585,0.001907793
0,[0.8744 0.1256],0.002222222,0.016138585,0.161868523,0.154169741,0.007698782
0,[0.9277 0.0723],0.058888889,0.124838496,0.203694317,0.172453475,0.031240842
0,[0.9983 0.0017],0,1.49E-06,0.010761176,0.010634779,0.000126397
0,[0.9468 0.0532],0,0.001832466,0.145362166,0.142167115,0.003195051
0,[0.9753 0.0247],0,0.000172071,0.068354564,0.067067806,0.001286758
0,[0.9502 0.0498],0,0.004501452,0.116257381,0.11228428,0.0039731
0,[0.9824 0.0176],0,0.001424949,0.062605248,0.060566614,0.002038634
0,[0.9838 0.0162],0,1.89E-05,0.046293828,0.045603812,0.000690016
0,[9.9978e-01 2.2431e-04],0,0.000220967,0.015546002,0.015108081,0.000437922
0,[0.8905 0.1095],0,0.014878083,0.201603051,0.195286644,0.006316407
0,[0.9929 0.0071],0,8.98E-05,0.036083981,0.035309457,0.000774524
0,[0.9695 0.0305],0,0.000915203,0.085994975,0.083812628,0.002182347
0,[0.9951 0.0049],0,0.000194803,0.022442853,0.021964391,0.000478462
0,[0.9804 0.0196],0,0.000607648,0.038617312,0.037059991,0.001557322
0,[0.8974 0.1026],0.008888889,0.033013081,0.167094366,0.156782254,0.010312112
0,[0.723 0.277],0.093333333,0.260470828,0.368555252,0.349326732,0.01922852
0,[0.9842 0.0158],0,7.52E-05,0.034717262,0.03403197,0.000685292
0,[0.9842 0.0158],0,3.67E-05,0.039407425,0.038747208,0.000660217
0,[0.8988 0.1012],0.001111111,0.019529713,0.179442839,0.17170161,0.007741229
0,[0.1514 0.8486],0.942222222,0.115030342,0.366739545,0.23958026,0.127159286
0,[0.9733 0.0267],0,4.96E-05,0.051259531,0.050404068,0.000855463
0,[0.997 0.003],0,1.53E-05,0.016856843,0.016510223,0.00034662
0,[0.9952 0.0048],0,4.31E-06,0.015712189,0.015493062,0.000219126
0,[0.8232 0.1768],0.006666667,0.024632451,0.21487908,0.20742963,0.00744945
0,[0.5245 0.4755],0.144444444,0.362024825,0.37775383,0.345971178,0.031782652
0,[0.9775 0.0225],0,0.000174002,0.055297351,0.054046333,0.001251018
0,[0.8307 0.1693],0.001111111,0.016302023,0.211033483,0.204591464,0.006442019
0,[0.9823 0.0177],0,4.69E-05,0.048301999,0.047435416,0.000866583
0,[0.9499 0.0501],0,0.000434573,0.097528201,0.095849274,0.001678927
0,[0.9989 0.0011],0,0.000162311,0.014622431,0.014130807,0.000491625
0,[0.7908 0.2092],0.088888889,0.237434352,0.35931241,0.339649956,0.019662454
0,[0.9966 0.0034],0,0.000266947,0.027801775,0.027188047,0.000613728
0,[0.9913 0.0087],0,0.001140766,0.062976145,0.060781695,0.00219445
0,[0.9832 0.0168],0,2.24E-05,0.045998485,0.045312312,0.000686173
0,[0.9961 0.0039],0,0.004143547,0.052751357,0.049368012,0.003383345
0,[0.9906 0.0094],0,2.97E-06,0.020869573,0.02063831,0.000231263
0,[0.9559 0.0441],0,0.002988579,0.108314426,0.105388249,0.002926177
0,[0.9839 0.0161],0,5.78E-05,0.04695595,0.046004537,0.000951413
0,[0.8731 0.1269],0.013333333,0.050434691,0.227670354,0.216656778,0.011013575
0,[0.8479 0.1521],0.092222222,0.226914699,0.320340518,0.294764204,0.025576314
0,[0.9951 0.0049],0,9.52E-06,0.02106486,0.02069231,0.000372549
0,[0.9423 0.0577],0,0.000555494,0.112573297,0.110505722,0.002067575
1,[0.0066 0.9934],0,6.29E-06,0.01724079,0.016957065,0.000283726
1,[0.0463 0.9537],0.004444444,0.010924605,0.063371624,0.058691305,0.00468032
1,[0.0378 0.9622],0.002222222,0.004003806,0.080979289,0.077496081,0.003483208
1,[0.0168 0.9832],0.024444444,0.048374202,0.108915678,0.094679147,0.01423653
1,[0.0115 0.9885],0,0.000170489,0.035689805,0.034637612,0.001052193
1,[0.0017 0.9983],0,0.00033556,0.032986146,0.031712064,0.001274082
1,[0.0026 0.9974],0,0.000230826,0.017133068,0.016549714,0.000583353
1,[0.0376 0.9624],0,0.006587787,0.098117489,0.093332684,0.004784805
1,[0.0146 0.9854],0,0.001115674,0.04368757,0.041948632,0.001738938
1,[0.0257 0.9743],0.007777778,0.032859175,0.14552183,0.134406387,0.011115443
1,[0.3487 0.6513],0.058888889,0.132122423,0.203903555,0.174749476,0.02915408
1,[0.6906 0.3094],0.656666667,0.702310092,0.525032205,0.458323102,0.066709104
1,[0.0367 0.9633],0.034444444,0.075417372,0.14866147,0.129913287,0.018748183
1,[0.231 0.769],0.016666667,0.058152689,0.197606518,0.183075876,0.014530642
1,[0.0118 0.9882],0.004444444,0.008097344,0.070100354,0.065976554,0.0041238
1,[0.0281 0.9719],0,0.001571098,0.044819445,0.042699291,0.002120154
1,[0.0221 0.9779],0.018888889,0.039794375,0.103788219,0.091470295,0.012317924
1,[0.0913 0.9087],0,0.004945867,0.139220784,0.134159614,0.00506117
1,[0.0175 0.9825],0,0.000991168,0.055300898,0.053256669,0.002044229
1,[0.0132 0.9868],0.005555556,0.015918552,0.055434555,0.049006188,0.006428368
1,[0.0287 0.9713],0.001111111,0.002073887,0.059687068,0.057613038,0.00207403
1,[0.3565 0.6435],0.195555556,0.428650834,0.398457661,0.364830667,0.033626994
1,[0.0575 0.9425],0.004444444,0.008893187,0.097984149,0.093062371,0.004921778
1,[0.0316 0.9684],0.001111111,0.008784547,0.114250096,0.108958566,0.00529153
1,[0.0099 0.9901],0,0.000190955,0.024824795,0.024082177,0.000742618
1,[0.4704 0.5296],0.352222222,0.654206555,0.455715071,0.402842702,0.052872368
1,[0.0131 0.9869],0,7.21E-05,0.029860117,0.029040101,0.000820016
1,[0.0711 0.9289],0,0.009014512,0.115925207,0.109978821,0.005946386
1,[0.0064 0.9936],0,4.30E-05,0.021013351,0.02053399,0.000479361
1,[0.6985 0.3015],0.8,0.475024476,0.530657586,0.473042108,0.057615478
