target,softmax prob,classification error %,average overlap,predictive entropy,average entropy,mutual information
0,[9.9901e-01 9.8961e-04],0,0.000427412,0.10924956,0.087653763,0.021595797
0,[0.97 0.03],0.002222222,0.005571646,0.263001717,0.205155095,0.057846623
0,[0.6818 0.3182],0.525555556,0.495589477,0.999424377,0.796213718,0.203210659
0,[0.9984 0.0016],0,2.40E-06,0.050945426,0.039065091,0.011880336
0,[0.9477 0.0523],0.01,0.0323157,0.522068987,0.452958017,0.06911097
0,[0.9572 0.0428],0.028888889,0.065546456,0.521797255,0.418366544,0.10343071
0,[0.9948 0.0052],0,0.000323896,0.183096234,0.157057459,0.026038775
0,[0.9289 0.0711],0.007777778,0.015624676,0.389285611,0.330214493,0.059071118
0,[0.9706 0.0294],0.017777778,0.046290468,0.441448637,0.340389868,0.101058768
0,[9.9984e-01 1.5585e-04],0,1.12E-06,0.03038705,0.022351118,0.008035932
0,[0.9772 0.0228],0,0.000414592,0.292711548,0.261147873,0.031563675
0,[0.9886 0.0114],0,0.001299289,0.200918839,0.171788912,0.029129927
0,[0.9936 0.0064],0.001111111,0.003048915,0.153746868,0.124071778,0.02967509
0,[0.9943 0.0057],0,0.000760466,0.194016875,0.160900433,0.033116442
0,[0.9943 0.0057],0,1.81E-05,0.117574058,0.100488603,0.017085455
0,[9.9921e-01 7.8736e-04],0,3.55E-05,0.062230826,0.045976917,0.016253908
0,[0.8961 0.1039],0.007777778,0.0227899,0.510232066,0.452572088,0.057659978
0,[0.9899 0.0101],0,0.000585115,0.131165363,0.107054868,0.024110495
0,[0.9849 0.0151],0,0.001201677,0.245761918,0.210567733,0.035194186
0,[0.998 0.002],0,6.97E-05,0.08872966,0.070637042,0.018092618
0,[0.9764 0.0236],0.001111111,0.005442229,0.169766504,0.127121052,0.042645452
0,[0.9284 0.0716],0.01,0.035239454,0.502339954,0.420853628,0.081486326
0,[0.6064 0.3936],0.358888889,0.548691964,0.988605808,0.880787649,0.10781816
0,[0.9979 0.0021],0,3.48E-05,0.0798321,0.06508965,0.01474245
0,[0.9951 0.0049],0,0.000178491,0.12078032,0.100205358,0.020574962
0,[0.9819 0.0181],0.003333333,0.011265468,0.389524753,0.330968186,0.058556567
0,[0.0088 0.9912],1,0.000692575,0.13728715,0.106380589,0.030906561
0,[0.9939 0.0061],0,0.00013418,0.14559976,0.123494615,0.022105145
0,[9.9965e-01 3.4987e-04],0,4.09E-05,0.053695832,0.039181284,0.014514548
0,[9.9902e-01 9.8444e-04],0,0.000142471,0.050927304,0.039114853,0.011812451
0,[0.7284 0.2716],0.126666667,0.293695384,0.879863758,0.792714473,0.087149285
0,[0.6395 0.3605],0.106666667,0.229431603,0.821413734,0.721363859,0.100049875
0,[0.9973 0.0027],0,2.50E-05,0.123784384,0.102984856,0.020799528
0,[0.9253 0.0747],0.003333333,0.022568665,0.591728453,0.541259757,0.050468696
0,[0.9933 0.0067],0,2.58E-05,0.103292393,0.08873963,0.014552763
0,[0.9758 0.0242],0,0.00197203,0.256715321,0.22934654,0.027368782
0,[9.9971e-01 2.8792e-04],0,1.80E-05,0.06786824,0.048750433,0.019117806
0,[0.8466 0.1534],0.051111111,0.12644109,0.725098118,0.638669613,0.086428505
0,[0.9952 0.0048],0,5.67E-05,0.097821303,0.077631324,0.020189979
0,[0.9952 0.0048],0,0.000376766,0.127123513,0.102220748,0.024902765
0,[0.9926 0.0074],0,2.82E-05,0.121659818,0.103899234,0.017760584
0,[0.9969 0.0031],0,3.42E-05,0.137169546,0.113677823,0.023491723
0,[9.9911e-01 8.9311e-04],0,2.90E-06,0.059504052,0.04813724,0.011366812
0,[0.9854 0.0146],0,0.001099562,0.24871572,0.218436326,0.030279394
0,[0.9965 0.0035],0,0.000345513,0.113907195,0.093696428,0.020210767
0,[0.8739 0.1261],0.011111111,0.033127933,0.541692165,0.474821182,0.066870982
0,[0.8602 0.1398],0.198888889,0.332483476,0.923054621,0.81671792,0.106336701
0,[9.9955e-01 4.5363e-04],0,1.01E-05,0.040737477,0.031597338,0.009140139
0,[0.9614 0.0386],0,0.003105416,0.422612624,0.38644966,0.036162964
1,[0.0051 0.9949],0,8.68E-06,0.100857484,0.086646026,0.014211459
1,[0.0197 0.9803],0.002222222,0.004388018,0.18801913,0.15219566,0.03582347
1,[0.0175 0.9825],0,0.00021168,0.228047576,0.204930528,0.023117048
1,[0.0055 0.9945],0,0.001731695,0.135925908,0.100483669,0.035442238
1,[0.0066 0.9934],0,9.02E-06,0.111259371,0.096169302,0.01509007
1,[0.0017 0.9983],0,0.00039417,0.076099496,0.056807643,0.019291853
1,[0.0024 0.9976],0,1.69E-05,0.087953669,0.07340556,0.014548109
1,[0.0499 0.9501],0,0.001326689,0.309274896,0.277037823,0.032237073
1,[0.0112 0.9888],0,0.000186243,0.150317953,0.124969839,0.025348114
1,[0.0454 0.9546],0.001111111,0.018572465,0.393517717,0.308339612,0.085178105
1,[0.0394 0.9606],0.001111111,0.002962583,0.222445929,0.180431901,0.042014029
1,[0.6089 0.3911],0.547777778,0.549825231,0.995762178,0.861179305,0.134582874
1,[0.0178 0.9822],0.003333333,0.00888794,0.210719378,0.153417167,0.057302212
1,[0.0382 0.9618],0.052222222,0.103966112,0.547227555,0.414636198,0.132591358
1,[0.0151 0.9849],0,0.000482517,0.179918726,0.149905625,0.030013101
1,[0.0064 0.9936],0,0.000331749,0.133673472,0.109035883,0.02463759
1,[0.0374 0.9626],0,0.003363501,0.221131014,0.172151226,0.048979788
1,[0.041 0.959],0,0.001893539,0.367512994,0.3321542,0.035358795
1,[0.0087 0.9913],0,0.000106014,0.142779943,0.117551786,0.025228157
1,[0.002 0.998],0.001111111,0.00227177,0.100784295,0.070631378,0.030152917
1,[0.0178 0.9822],0,0.000125665,0.259717364,0.233674354,0.02604301
