target,softmax prob,classification error %,average overlap,overlap variance
0,[0.9954 0.0046],0.0,8.460938076923519e-06,8.548198919131182e-06
0,[0.9774 0.0226],0.0,0.0007324387480826603,0.0014462281106152701
0,[0.3932 0.6068],0.7711111111111111,0.5002193881679732,0.128285439374376
0,[9.9941e-01 5.9088e-04],0.0,5.575862086909848e-06,7.526284176057449e-06
0,[0.9494 0.0506],0.005555555555555556,0.025537257071610826,0.01632791259886451
0,[0.8158 0.1842],0.022222222222222223,0.07293903976181777,0.0703351208014174
0,[0.9853 0.0147],0.0,2.3444450673138583e-05,2.774581103939336e-05
0,[0.9504 0.0496],0.006666666666666667,0.018273327485414825,0.020240579466089547
0,[0.9287 0.0713],0.04,0.09758363394643715,0.08433851800083578
0,[9.9973e-01 2.6842e-04],0.0,9.901423162197335e-07,7.618747260096876e-07
0,[0.9796 0.0204],0.0,2.784772157496421e-05,1.764318994263882e-05
0,[0.98 0.02],0.0,7.191691978269515e-05,8.657000767279525e-05
0,[0.9922 0.0078],0.0,0.0003824073365055738,0.0007082534326699472
0,[0.9906 0.0094],0.0,0.00038762460091396294,0.0005325921540177847
0,[0.9889 0.0111],0.0,5.2515251054197926e-05,0.00013436696795604647
0,[9.9980e-01 1.9876e-04],0.0,1.3393353169671446e-05,1.8894226104665422e-05
0,[0.8908 0.1092],0.0011111111111111111,0.01340971871131953,0.010986947762933255
0,[0.9975 0.0025],0.0,0.000119802946781168,0.0002664414368199842
0,[0.9852 0.0148],0.0,1.6844234349133842e-05,1.0485466139318433e-05
0,[0.9946 0.0054],0.0,3.3071981586911046e-05,5.353854007748062e-05
0,[0.9974 0.0026],0.0,0.0004386594571633662,0.0011606953732367451
0,[0.8666 0.1334],0.04111111111111111,0.09970537545239028,0.1568827973325717
0,[0.8291 0.1709],0.09888888888888889,0.16132140058068425,0.2020576053849542
0,[0.9946 0.0054],0.0,1.0603489732419238e-05,1.1387750894780311e-05
0,[0.9947 0.0053],0.0,8.9079025286325e-06,9.215040217855927e-06
0,[0.9767 0.0233],0.0,0.0035297699900905927,0.003073605977127313
0,[0.0143 0.9857],1.0,0.001964492968268917,0.0031713315309201523
0,[0.9688 0.0312],0.0,0.00017969713882016027,0.00012583895140722158
0,[0.9986 0.0014],0.0,6.606387207097468e-06,1.304466390266011e-05
0,[0.9985 0.0015],0.0,1.161739222851827e-06,4.7672866995020463e-07
0,[0.8526 0.1474],0.028888888888888888,0.09561521357086195,0.05076575275322888
0,[0.7989 0.2011],0.07888888888888888,0.20760764595392095,0.1119947561255869
0,[0.9917 0.0083],0.0,4.282496873655894e-05,3.263041398231934e-05
0,[0.8486 0.1514],0.0033333333333333335,0.01613477153532086,0.035226570867479476
0,[0.9902 0.0098],0.0,1.1526077115701873e-05,5.933274372718875e-06
0,[0.9592 0.0408],0.0,0.0004925799365534939,0.0006770410379416076
0,[9.9949e-01 5.1107e-04],0.0,2.9582928193300744e-06,2.323215525559007e-06
0,[0.8529 0.1471],0.052222222222222225,0.1342164592225747,0.22474754870099506
0,[0.9982 0.0018],0.0,4.3944258714014396e-06,5.368245069049095e-06
0,[0.962 0.038],0.0,0.0047842185253343114,0.009027247291483268
0,[0.9877 0.0123],0.0,9.596708760774621e-06,5.870222717907055e-06
0,[9.9926e-01 7.4502e-04],0.0,4.178270597495731e-05,9.162105371352122e-05
0,[0.9962 0.0038],0.0,0.00025788162134400934,0.000713724999830718
0,[0.9861 0.0139],0.0,9.700168837525387e-05,0.00020984127819938505
0,[0.9958 0.0042],0.0,1.558628444230218e-05,3.0489532818188132e-05
0,[0.8837 0.1163],0.0077777777777777776,0.035832033600094106,0.0376938354801602
0,[0.884 0.116],0.03888888888888889,0.09986135493129251,0.15982603823713112
0,[0.9988 0.0012],0.0,1.978961239881606e-06,2.3345106897768812e-06
0,[0.958 0.042],0.0,0.0006248635677120335,0.0004983320135726856
1,[0.0035 0.9965],0.0,1.4335554739349788e-06,8.093872004190999e-07
1,[0.013 0.987],0.0,1.0119957994709977e-05,1.8493441779147024e-05
1,[0.0488 0.9512],0.0,0.0015040636965919358,0.0037635077702986683
1,[0.0227 0.9773],0.0011111111111111111,0.0030800091697771185,0.005167549176261336
1,[0.0022 0.9978],0.0,1.706455698954448e-06,8.58573652761769e-07
1,[0.0068 0.9932],0.0,0.00021038295970322144,0.00029658175040451644
1,[0.0011 0.9989],0.0,9.062738246491851e-07,2.7162026009368776e-07
1,[0.0225 0.9775],0.0,3.0192871583853116e-05,1.727424456265761e-05
1,[0.0069 0.9931],0.0,0.0001165998190266443,0.0001942386060404811
1,[0.0185 0.9815],0.0033333333333333335,0.0065592821007210735,0.006604474121925167
1,[0.0863 0.9137],0.0,0.002163437116887863,0.0029699982826593167
1,[0.6611 0.3389],0.52,0.5775264677562431,0.20309244202624457
1,[0.0081 0.9919],0.0011111111111111111,0.0024856323323566684,0.004622059855544435
1,[0.0355 0.9645],0.0033333333333333335,0.018610501713603313,0.025926098400027787
1,[0.0056 0.9944],0.0,5.945382988290734e-05,8.526857967109555e-05
1,[0.0027 0.9973],0.0,7.895445268787216e-05,0.00021163572097448303
1,[0.0039 0.9961],0.0,5.083305780277755e-05,6.029897801879471e-05
1,[0.068 0.932],0.0,0.0014833726088376046,0.0014094879651898483
1,[0.0106 0.9894],0.0,6.827907817832971e-05,0.00010547664583847484
1,[0.0027 0.9973],0.0,0.00022627617257766158,0.0003317241661666458
1,[0.0115 0.9885],0.0,0.00010343456143565078,0.00012564305284238253
1,[0.4342 0.5658],0.0811111111111111,0.23388420424628162,0.16194251012467573
