target,softmax prob,average overlap,overlap variance
0,[0.9956 0.0044],0.001889359,0.003126007
0,[0.9798 0.0202],0.005046801,0.006939811
0,[0.721 0.279],0.514308379,0.186466823
0,[0.9942 0.0058],0.000966207,0.00241083
0,[0.7895 0.2105],0.124112235,0.117765103
0,[0.869 0.131],0.113428317,0.040472565
0,[0.9694 0.0306],0.00097282,0.002044325
0,[0.9191 0.0809],0.037488329,0.027305544
0,[0.9739 0.0261],0.080548789,0.060687316
0,[0.999 0.001],2.27E-06,1.12E-06
0,[0.9171 0.0829],0.00162016,0.002231957
0,[0.9763 0.0237],0.00099796,0.000662071
0,[0.985 0.015],0.001109464,0.001200857
0,[0.9717 0.0283],0.014428282,0.016628821
0,[0.9879 0.0121],0.000105392,8.61E-05
0,[9.9979e-01 2.1246e-04],0.000394174,0.000879279
0,[0.9256 0.0744],0.011733502,0.00904592
0,[0.9972 0.0028],0.000314351,0.000524162
0,[0.9635 0.0365],0.00211292,0.002021296
0,[0.9967 0.0033],0.000847579,0.002150631
0,[0.9888 0.0112],0.001375556,0.002553777
0,[0.9445 0.0555],0.006078782,0.007735387
0,[0.7514 0.2486],0.558997424,0.24591619
0,[0.9894 0.0106],0.000364518,0.000637716
0,[0.9895 0.0105],0.000101951,0.000162081
0,[0.8787 0.1213],0.040272118,0.041428284
0,[0.015 0.985],0.018697084,0.017079414
0,[0.9867 0.0133],0.001438081,0.003743446
0,[0.9958 0.0042],0.001155849,0.002823796
0,[0.9971 0.0029],4.23E-05,6.26E-05
0,[0.8157 0.1843],0.102893512,0.064373994
0,[0.7325 0.2675],0.356773736,0.187954191
0,[0.9793 0.0207],0.000224832,0.0002937
0,[0.8269 0.1731],0.02647381,0.016926882
0,[0.9901 0.0099],0.000273122,0.000343802
0,[0.971 0.029],0.000462791,0.000379708
0,[0.9968 0.0032],0.00015501,0.000254274
0,[0.8138 0.1862],0.268198182,0.1640097
0,[0.9982 0.0018],0.000378159,0.000649882
0,[0.9942 0.0058],0.000842784,0.002062567
0,[0.9913 0.0087],0.000166936,0.000163909
0,[0.9949 0.0051],0.000866446,0.00178272
0,[0.9932 0.0068],0.000450323,0.000702799
0,[0.9647 0.0353],0.006193266,0.005283334
0,[0.9535 0.0465],0.001386034,0.002304775
0,[0.9401 0.0599],0.022215044,0.01538513
0,[0.6631 0.3369],0.222065144,0.162302572
0,[0.9967 0.0033],6.88E-05,6.62E-05
0,[0.9457 0.0543],0.005770627,0.004400863
1,[0.0037 0.9963],2.99E-06,3.70E-06
1,[0.2697 0.7303],0.03776053,0.094156073
1,[0.0254 0.9746],0.000325153,0.000660147
1,[0.0148 0.9852],0.001471865,0.001305263
1,[0.006 0.994],6.35E-05,0.000131957
1,[6.9388e-04 9.9931e-01],7.72E-06,1.23E-05
1,[0.0015 0.9985],1.17E-06,3.92E-07
1,[0.0515 0.9485],0.002401292,0.003204859
1,[0.0105 0.9895],0.000328938,0.000883383
1,[0.023 0.977],0.004508212,0.008382638
1,[0.0999 0.9001],0.015460792,0.018373443
1,[0.8823 0.1177],0.475848419,0.264769847
1,[0.0439 0.9561],0.027262194,0.023638796
1,[0.0019 0.9981],0.016639332,0.022946666
1,[0.008 0.992],0.000256484,0.000211868
1,[0.0065 0.9935],0.001271962,0.003464533
1,[0.0094 0.9906],0.007506442,0.013336489
1,[0.079 0.921],0.010857834,0.017640576
1,[0.0113 0.9887],9.45E-05,0.000174987
1,[0.002 0.998],0.006509314,0.011977196
1,[0.0275 0.9725],0.00079101,0.001437071
1,[0.2987 0.7013],0.327905193,0.23606493
1,[0.0601 0.9399],0.001923482,0.001949607
1,[0.038 0.962],0.000205458,0.000181552
1,[0.0016 0.9984],1.97E-06,1.01E-06
1,[0.5369 0.4631],0.527376202,0.215287731
1,[0.0077 0.9923],9.16E-06,1.44E-05
1,[0.0278 0.9722],0.002063728,0.003330437
1,[0.0036 0.9964],2.99E-06,4.61E-06
1,[0.8925 0.1075],0.216909444,0.178232994
1,[0.3191 0.6809],0.217562975,0.172997969
1,[0.0069 0.9931],0.003114071,0.0054889
1,[0.0337 0.9663],0.000512204,0.000527853
1,[0.0096 0.9904],0.010629743,0.00716267
1,[0.0081 0.9919],5.79E-05,7.92E-05
1,[4.7717e-05 9.9995e-01],1.40E-05,2.68E-05
1,[0.0074 0.9926],8.60E-06,1.90E-05
1,[0.0141 0.9859],0.000135262,0.000166646
1,[0.0467 0.9533],0.000892798,0.001045328
1,[0.0368 0.9632],0.009444637,0.006707011
1,[0.0508 0.9492],0.000419603,0.000845924
1,[0.0013 0.9987],1.62E-06,2.23E-06
1,[0.012 0.988],0.005714652,0.007647995
1,[0.0444 0.9556],0.002036056,0.003121337
1,[0.0034 0.9966],4.90E-06,8.82E-06
1,[0.0021 0.9979],9.02E-06,1.78E-05
1,[0.0198 0.9802],0.000327254,0.000388244
1,[0.157 0.843],0.122707,0.110964009
1,[0.0088 0.9912],6.60E-06,6.18E-06
1,[0.0041 0.9959],3.35E-05,7.06E-05
1,[0.0218 0.9782],0.003842474,0.003983917
1,[0.0026 0.9974],4.97E-06,5.12E-06
1,[1.0681e-04 9.9989e-01],1.16E-05,3.06E-05
1,[0.0081 0.9919],1.52E-05,2.95E-05
1,[0.7011 0.2989],0.523529263,0.221238878
