target,softmax prob,classification error %,average overlap,predictive entropy,average entropy,mutual information
0,[0.9828 0.0172],0,1.32E-05,0.033484552,0.033037566,0.000446986
0,[0.9878 0.0122],0,0.000573542,0.043622093,0.041887304,0.001734789
0,[0.8189 0.1811],0.603333333,0.399523144,0.514566287,0.396226315,0.118339972
0,[0.997 0.003],0,1.00E-05,0.020948878,0.020554826,0.000394051
0,[0.9192 0.0808],0.022222222,0.062752605,0.185540731,0.170556721,0.01498401
0,[0.851 0.149],0.153333333,0.343153099,0.362626064,0.327468661,0.035157403
0,[0.9813 0.0187],0,0.000290237,0.062632835,0.061343831,0.001289005
0,[0.9213 0.0787],0.024444444,0.084566604,0.259952142,0.244934316,0.015017826
0,[0.9219 0.0781],0.011111111,0.028460646,0.145275422,0.135615253,0.009660169
0,[9.9946e-01 5.4012e-04],0,1.04E-06,0.006356152,0.006294533,6.16E-05
0,[0.9477 0.0523],0,0.000129259,0.070507765,0.069253662,0.001254103
0,[0.9383 0.0617],0,0.002892823,0.11650079,0.113168862,0.003331927
0,[0.9917 0.0083],0,2.01E-05,0.025045455,0.024569425,0.000476029
0,[0.7372 0.2628],0.092222222,0.21852971,0.312794435,0.283763828,0.029030607
0,[0.9936 0.0064],0,2.78E-06,0.020745524,0.02053357,0.000211954
0,[0.9915 0.0085],0,0.000325659,0.01797899,0.017595142,0.000383848
0,[0.925 0.075],0.014444444,0.054409018,0.235535744,0.223741883,0.011793861
0,[0.9905 0.0095],0,7.07E-05,0.023447244,0.023054839,0.000392405
0,[0.9761 0.0239],0,0.000368561,0.058530802,0.057006552,0.00152425
0,[0.9988 0.0012],0,4.88E-06,0.01499006,0.014787596,0.000202464
0,[0.992 0.008],0,4.97E-06,0.02075298,0.02040917,0.000343809
0,[0.9527 0.0473],0,0.000469668,0.071356182,0.06991952,0.001436662
0,[0.75 0.25],0.327777778,0.289393744,0.455722251,0.385418237,0.070304014
0,[0.9966 0.0034],0,2.18E-06,0.015719928,0.015540411,0.000179516
0,[0.9942 0.0058],0,3.99E-06,0.019961234,0.019738317,0.000222916
0,[0.6825 0.3175],0.081111111,0.217613108,0.348386395,0.329332523,0.019053872
0,[0.0277 0.9723],0.965555556,0.076639818,0.344259951,0.23970241,0.104557541
0,[0.9868 0.0132],0,0.000284602,0.036370077,0.03561467,0.000755407
0,[0.998 0.002],0,3.95E-06,0.015472683,0.01525255,0.000220132
0,[0.9945 0.0055],0,1.58E-05,0.02126503,0.020962547,0.000302483
0,[0.6832 0.3168],0.186666667,0.393041226,0.393615919,0.361617472,0.031998447
0,[0.5949 0.4051],0.251111111,0.500048981,0.410467682,0.367599502,0.042868181
0,[0.9902 0.0098],0,7.55E-05,0.040212347,0.039376194,0.000836153
0,[0.7079 0.2921],0.003333333,0.036689379,0.276221658,0.269494793,0.006726865
0,[0.9922 0.0078],0,1.12E-05,0.026932687,0.026534058,0.000398629
0,[0.9788 0.0212],0,2.96E-05,0.048709023,0.048002207,0.000706816
0,[0.9955 0.0045],0,0.001345217,0.033805952,0.032438521,0.001367431
0,[0.6066 0.3934],0.121111111,0.327576621,0.393524424,0.374225864,0.01929856
0,[0.9952 0.0048],0,2.37E-05,0.024708538,0.024312564,0.000395974
0,[0.9989 0.0011],0,9.95E-06,0.017956319,0.017621813,0.000334506
0,[0.9916 0.0084],0,3.98E-06,0.023776182,0.023525937,0.000250246
0,[0.984 0.016],0,7.93E-05,0.061823222,0.060751673,0.001071549
0,[0.9925 0.0075],0,1.00E-05,0.018360674,0.018058845,0.00030183
0,[0.9243 0.0757],0,0.00124748,0.097985267,0.095233093,0.002752174
