target,softmax prob,classification error %,average overlap,predictive entropy,average entropy,mutual information
0,[1. 0.],0.7122222222222222,0.25648329892412847,0.5171947838115185,nan,nan
0,[0.23971382 0.7602862 ],0.7177777777777777,0.2809495094885286,0.5150760005485515,nan,nan
0,[0. 1.],0.4166666666666667,0.3838450492387063,0.4533968305737172,nan,nan
0,[0. 1.],0.6133333333333333,0.3340881302772822,0.530072801712463,nan,nan
0,[0. 1.],0.7477777777777778,0.26112318923895317,0.5010861578054417,nan,nan
0,[0. 1.],0.7355555555555555,0.25436524737192556,0.5075996137459062,nan,nan
0,[0. 1.],0.7022222222222222,0.30565940506593714,0.520539115444534,nan,nan
0,[1. 0.],0.4811111111111111,0.36323594245319824,0.49144162871903174,nan,nan
0,[0. 1.],0.5744444444444444,0.41553195889902206,0.5245755052646214,nan,nan
0,[0. 1.],0.7244444444444444,0.28507397707065646,0.5121123095175582,nan,nan
0,[0. 1.],0.7677777777777778,0.24123159852202308,0.48927155163044483,nan,nan
0,[3.5895391e-13 1.0000000e+00],0.64,0.35676330816790397,0.5306022503031441,nan,nan
0,[0. 1.],0.7666666666666667,0.24128781426930088,0.4893657121317922,nan,nan
0,[0. 1.],0.7655555555555555,0.22860616525245986,0.49107263994160555,nan,nan
0,[0. 1.],0.6711111111111111,0.3191191498758248,0.5275830088759221,nan,nan
0,[0. 1.],0.6744444444444444,0.32871014745942023,0.5270744991729834,nan,nan
0,[0. 1.],0.6811111111111111,0.3293717761571347,0.5258392337831613,nan,nan
0,[0. 1.],0.6311111111111111,0.3091940828857872,0.5307365257578053,nan,nan
0,[0. 1.],0.8011111111111111,0.20583083291428433,0.46351151723192346,nan,nan
0,[1. 0.],0.6355555555555555,0.3732188100571663,0.5307155008787373,nan,nan
0,[0. 1.],0.6533333333333333,0.2521742882471815,0.529801628067715,nan,nan
0,[0. 1.],0.5177777777777778,0.35280029410471103,0.5075965180581906,nan,nan
0,[0. 1.],0.5844444444444444,0.3510152214205715,0.5265162864839456,nan,nan
0,[0. 1.],0.6855555555555556,0.19339255655246698,0.5248118954182324,nan,nan
0,[0. 1.],0.7122222222222222,0.2985515115917702,0.5169772687538399,nan,nan
0,[0. 1.],0.54,0.3188196076963641,0.5153628676101907,nan,nan
0,[0. 1.],0.68,0.28379749051536046,0.5260347780571923,nan,nan
0,[0. 1.],0.6311111111111111,0.3671945380337662,0.5307334730657525,nan,nan
0,[0. 1.],0.7488888888888889,0.25814509164777705,0.5004616888001588,nan,nan
0,[0. 1.],0.6555555555555556,0.32146973389071287,0.5296450378641044,nan,nan
0,[1.0132215e-36 1.0000000e+00],0.6577777777777778,0.3123959911101666,0.5294199555697877,nan,nan
0,[1.0000000e+00 2.5238066e-33],0.5044444444444445,0.373570674839901,0.5019492957344595,nan,nan
0,[0. 1.],0.7111111111111111,0.28011485858831286,0.5175240016009327,nan,nan
0,[0. 1.],0.5722222222222222,0.3219086791453629,0.5239749848434713,nan,nan
0,[0. 1.],0.7088888888888889,0.30309349018037113,0.5182096964299228,nan,nan
0,[0. 1.],0.75,0.2605294027932332,0.4998023933080763,nan,nan
0,[9.696993e-12 1.000000e+00],0.5544444444444444,0.3881149158111611,0.519754659578286,nan,nan
0,[1.7837678e-07 9.9999988e-01],0.5888888888888889,0.32044147534119966,0.5272024112695627,nan,nan
0,[0. 1.],0.6588888888888889,0.33163528824905397,0.5293517644487207,nan,nan
0,[0. 1.],0.5488888888888889,0.39960661178201423,0.5179503465924216,nan,nan
